@relation trainTrimmedNoneMissing

@attribute 'Survived' {yes, no}
@attribute 'Sex' {male, female}
@attribute 'Age' numeric
@attribute 'Fare' numeric
@attribute 'Embarked' {S, Q, C}
@attribute 'NameLength' numeric
@attribute 'Deck' {A, B, C, D, E, F, G, T}
@attribute 'DeckCabin' numeric


@data
yes,female,23.0,263.0,S,26,3.0,23.0
no,male,24.0,8.05,S,22,4.41396516778,75.7753177902
no,male,29.0,8.05,S,20,3.65079504402,79.4829807307
no,male,20.0,7.8542,S,26,3.09482801969,7.98967696397
no,male,46.0,61.175,S,27,5.0,31.0
no,male,26.0,20.575,S,23,4.6156575302,15.3229096521
no,male,59.0,7.25,S,17,3.8988344149,21.402988994
no,male,9.58636260091,8.05,S,27,3.80913136215,142.306528218
no,male,71.0,34.6542,C,25,1.0,5.0
yes,male,23.0,63.3583,C,31,4.0,10.0
yes,female,34.0,23.0,S,36,2.72728815357,96.774274807
no,male,34.0,26.0,S,17,4.79288039445,87.1383135822
no,female,28.0,7.8958,S,23,1.03133419503,132.561516625
no,male,44.8161650699,7.8958,S,32,3.50161832082,31.3955275217
no,male,21.0,77.2875,S,25,4.0,26.0
no,male,33.0,8.6542,S,26,4.29625024545,50.6415264076
no,male,37.0,7.925,S,30,5.38456304177,83.9997228102
no,male,28.0,7.8958,S,21,5.94051008006,14.9988845839
yes,female,21.0,7.65,S,32,3.00486435876,66.3280775873
yes,male,3.40171913216,7.775,S,22,3.64741316805,42.1918308585
no,male,38.0,7.8958,S,15,3.63987021576,20.1885418498
yes,female,47.6195685677,24.15,Q,19,4.30806089216,74.3406071087
no,male,47.0,52.0,S,30,3.0,110.0
no,female,14.5,14.4542,C,20,2.83150213077,37.0936240772
no,male,22.0,8.05,S,22,2.45262627239,93.3893996893
no,female,20.0,9.825,S,23,1.62194334315,33.6570121351
no,female,17.0,14.4583,C,21,2.21209967096,5.71397081228
no,male,21.0,7.925,S,21,3.99059271198,45.0386265507
no,male,70.5,7.75,Q,20,6.71994604665,7.25880173655
no,male,29.0,21.0,S,31,3.4905476299,29.3695797328
no,male,24.0,247.5208,C,24,2.0,58.0
no,female,2.0,31.275,S,33,3.28812080734,17.2529340353
no,male,21.0,73.5,S,27,5.17413517919,117.372170522
no,male,18.1521218434,8.05,S,26,0.763044126683,40.0554179286
no,male,32.5,30.0708,C,20,4.20647404743,149.836017279
yes,female,32.5,13.0,S,19,5.0,101.0
no,male,54.0,77.2875,S,27,4.0,26.0
yes,male,12.0,11.2417,C,28,4.46163497791,17.5569721991
no,male,56.6638750474,7.75,Q,19,5.46576608425,71.6071779148
yes,male,24.0,7.1417,S,25,4.32388846965,48.9843683599
yes,female,9.31839867001,22.3583,C,17,6.0,69.0
no,male,45.0,6.975,S,18,4.68042590941,34.7753587894
no,male,33.0,7.8958,C,20,2.14532094543,11.748652956
no,male,20.0,7.05,S,30,3.2590827287,64.6400105851
no,female,47.0,14.5,S,46,2.87500510624,55.6802030847
yes,female,29.0,26.0,S,45,3.5538441727,46.8122876337
no,male,25.0,13.0,S,30,2.86460868273,5.6680518282
no,male,23.0,15.0458,C,18,6.28186758304,39.3636405473
yes,female,19.0,26.2833,S,28,4.0,47.0
no,male,37.0,53.1,S,27,3.0,123.0
no,male,16.0,9.2167,S,19,6.53803193612,19.8615371725
no,male,24.0,79.2,C,18,2.0,86.0
no,female,16.9232166728,15.2458,C,29,5.50131435656,39.8759254619
yes,female,22.0,7.75,S,24,4.60044928566,36.3802445881
yes,female,24.0,15.85,S,52,2.10516709854,59.5621446264
no,male,19.0,6.75,Q,19,2.40849223594,86.7339190288
no,male,18.0,11.5,S,26,2.70413834126,86.3552369032
no,male,19.0,36.75,S,28,2.52472506955,50.3320316831
yes,male,27.0,7.7958,S,44,4.87350180871,51.1542078324
no,female,9.0,34.375,S,32,2.10591152501,68.6478375954
no,male,36.5,26.0,S,40,6.0,2.0
no,male,42.0,13.0,S,33,2.79665408536,49.7039426138
no,male,51.0,12.525,S,26,2.0169096696,9.50864788338
yes,female,22.0,66.6,S,33,3.0,2.0
no,male,55.5,8.05,S,16,2.16011210369,15.4833178999
no,male,40.5,14.5,S,31,4.78060423166,46.0696426687
no,male,13.0447001585,7.3125,S,21,5.41871798912,66.34932584
no,male,51.0,61.3792,C,27,2.11660308163,66.4673921736
yes,female,16.0,7.7333,Q,32,5.92739007239,5.51147384401
no,male,30.0,8.05,S,15,1.11912640158,101.542186288
no,male,2.98319562846,8.6625,S,19,3.02446852981,39.4053277343
no,male,15.451049881,69.55,S,26,4.12467270882,22.8538523567
no,male,44.0,16.1,S,24,4.74414333861,78.9863281897
yes,female,40.0,15.75,S,50,5.69522241728,42.5522998487
no,male,26.0,7.775,S,26,4.33677963255,65.3523635398
no,male,17.0,8.6625,S,15,2.00473439955,28.165541447
no,male,1.0,39.6875,S,28,4.41738219249,70.1475583192
yes,male,9.0,20.525,S,47,3.60679237547,53.1519344019
yes,female,12.9050211158,55.0,S,38,5.0,33.0
no,female,45.0,27.9,S,47,2.02560630752,53.5154798819
no,male,27.9621146997,25.925,S,19,4.59976090587,3.43489427229
no,male,28.0,56.4958,S,13,1.00141814387,65.9299045647
no,male,61.0,33.5,S,25,2.0,19.0
no,male,4.0,29.125,Q,20,3.82035342818,74.7438884644
yes,female,1.0,11.1333,S,28,3.01401704276,40.902647308
no,male,21.0,7.925,S,25,2.58424586551,54.7975712103
no,male,56.0,30.6958,C,23,1.0,7.0
no,male,18.0,7.8542,S,22,4.08441014916,19.7751148806
no,male,5.07587013478,25.4667,S,29,3.44261899171,63.3410977775
no,female,50.0,28.7125,C,26,3.0,49.0
no,male,30.0,13.0,S,18,2.19460410312,90.7780715285
no,male,36.0,0.0,S,19,2.4918367593,38.2722580398
no,female,42.3540588113,69.55,S,28,4.2747459041,60.3891427883
no,male,21.4798924069,15.05,C,16,2.75332516829,46.0419097587
no,male,9.0,31.3875,S,37,1.66792719236,32.9082409767
yes,male,1.0,39.0,S,25,6.0,4.0
yes,female,4.0,22.025,S,35,4.11713859296,35.0650592808
no,male,22.1763728812,50.0,S,21,1.0,32.0
yes,female,6.28329920158,15.5,Q,47,5.30139804109,26.5843421343
yes,male,45.0,26.55,S,45,4.09237397532,93.3636273077
no,male,40.0,15.5,Q,16,2.09748595511,24.4771914699
no,male,36.0,7.8958,S,19,2.79789776586,96.0815597251
yes,female,32.0,13.0,S,19,1.66203871958,9.43219780376
no,male,19.0,13.0,S,21,4.87319505001,38.8667798232
yes,female,19.0,7.8542,S,47,3.45940631761,98.8422882288
yes,male,3.0,26.0,S,26,6.0,2.0
yes,female,44.0,27.7208,C,41,2.0,4.0
yes,female,58.0,146.5208,C,20,2.0,80.0
no,male,32.1818836717,7.75,Q,19,3.10412144054,10.9856564499
no,male,42.0,8.4042,S,32,2.50694545594,40.1178717368
yes,female,14.2562676704,7.75,Q,32,2.70536234589,8.85515682678
no,female,24.0,13.0,S,38,3.55110547362,37.7230816128
no,male,28.0,9.5,S,30,2.27878842932,119.277195764
no,male,37.8822335074,69.55,S,19,4.27308934146,35.6156803965
no,male,34.0,6.4958,S,26,3.03621582613,0.414469858103
no,male,45.5,7.225,C,20,5.0057901442,76.7137273798
yes,male,18.0,8.05,S,24,1.93317990221,17.5634819443
no,female,2.0,10.4625,S,26,7.0,6.0
no,male,32.0,15.85,S,26,5.08826155229,25.5181246248
yes,male,26.0,18.7875,C,27,5.25810367721,50.0977399417
yes,female,16.0,7.75,Q,25,2.79095174912,24.7919130998
yes,male,40.0,31.0,C,16,1.0,31.0
no,male,24.0,7.05,S,14,3.50090203545,45.2276265796
yes,female,35.0,21.0,S,26,0.987995698941,81.5005152731
no,male,22.0,7.25,S,22,4.70756462544,24.9870812454
no,male,30.0,13.0,S,27,5.42540119538,131.071595206
no,male,38.4749867754,7.75,Q,19,3.53473977928,85.0635806575
yes,female,31.0,113.275,C,23,4.0,36.0
yes,female,27.0,7.925,S,22,3.15750182011,72.7157271485
no,male,42.0,27.0,S,28,4.01193614742,58.6838844486
yes,female,32.0,76.2917,C,21,4.0,15.0
no,male,30.0,10.5,S,18,1.4367829322,83.0500242181
yes,male,16.0,8.05,S,30,3.17472437258,4.46982375628
no,male,27.0,13.0,S,20,5.00335383193,24.4058786352
no,male,51.0,8.05,S,23,1.82060282774,129.165947067
no,male,32.7066285336,7.8958,S,20,1.88988943315,67.6502591674
yes,male,38.0,90.0,S,28,3.0,93.0
no,male,22.0,9.35,S,28,3.74339602329,13.3152508405
yes,male,19.0,10.5,S,25,2.33073449702,15.9266182984
no,male,20.5,7.25,S,31,2.91800668061,26.4843387954
no,male,18.0,13.0,S,25,0.836425797398,21.1733440813
no,female,32.9657378175,25.4667,S,23,4.89052040142,100.803462388
yes,female,35.0,83.475,S,44,3.0,83.0
no,male,29.0,7.775,S,24,2.67095848979,44.4533189162
no,male,59.0,13.5,S,25,4.4306995727,23.7597586371
yes,female,5.0,31.3875,S,30,0.241085334211,14.3253987124
no,male,24.0,10.5,S,33,5.18410395483,95.4321689206
no,female,22.1894656541,7.55,S,28,1.75026167442,12.6671845273
no,male,44.0,26.0,S,17,2.67374729832,116.693579516
yes,female,8.0,26.25,S,32,3.94714277884,42.0934672009
no,male,19.0,10.5,S,31,3.61807293949,54.9690414809
no,male,33.0,12.275,S,22,2.75493064633,76.4011315775
no,female,17.4719672345,14.4542,C,21,6.38451003226,3.50873971916
yes,female,25.5853338744,15.5,Q,30,3.98821601997,16.9900751388
no,male,29.0,10.5,S,31,4.2613356071,96.4072798419
no,male,22.0,7.125,S,29,5.2537460535,89.6039694701
no,male,30.0,7.225,C,20,2.71113405802,21.3783322037
no,male,44.0,90.0,Q,27,3.0,78.0
no,female,25.0,7.775,S,37,2.12977732526,135.831925889
yes,female,24.0,14.5,S,31,2.34848462941,4.0179087217
yes,male,37.0,52.5542,S,29,4.0,35.0
no,male,54.0,26.0,S,29,3.47019915872,62.5376598337
no,male,42.7221749668,7.25,S,22,3.24370087324,79.4828820656
no,female,29.0,10.4625,S,42,7.0,6.0
no,male,62.0,26.55,S,25,3.0,87.0
no,male,30.0,16.1,S,24,3.64693985822,10.3083533821
no,female,41.0,20.2125,S,40,4.12671009362,15.3799023218
yes,female,29.0,15.2458,C,39,2.8143860328,50.5176526508
yes,female,15.7295721243,79.2,C,30,1.56778240519,48.992350921
yes,female,30.0,86.5,S,20,2.0,77.0
yes,female,35.0,512.3292,C,16,2.12917705122,51.472931236
yes,female,50.0,26.0,S,27,2.04798464246,95.3939489581
no,male,4.96684697457,7.75,Q,17,4.19544026506,83.0751277522
yes,male,3.0,31.3875,S,33,3.11781381163,44.3475083024
no,male,52.0,79.65,S,17,5.0,67.0
no,male,40.0,0.0,S,21,2.0,94.0
no,female,7.68132064473,7.75,Q,18,2.97471111319,146.118009812
no,male,36.0,10.5,S,17,2.207775696,53.4925771117
no,male,16.0,39.6875,S,25,3.60405919417,7.43393673614
yes,male,25.0,7.775,S,24,2.21284954027,115.694329198
yes,female,58.0,153.4625,S,45,3.0,125.0
yes,female,35.0,135.6333,S,22,3.0,99.0
no,male,23.9076529116,31.0,S,21,1.47630407831,76.1472970658
yes,male,25.0,0.0,S,28,4.95307982035,43.3303826139
yes,female,41.0,19.5,S,41,3.24305393186,44.0732990433
no,male,37.0,29.7,C,21,3.0,118.0
yes,female,45.9476217976,7.75,Q,26,2.03394481529,35.2969897008
yes,female,63.0,77.9583,S,33,4.0,7.0
no,female,45.0,7.75,S,33,3.3065486717,57.5583433703
no,male,17.575341974,0.0,S,27,3.84130231104,25.8941199868
no,male,7.0,29.125,Q,18,2.16784463816,20.9671945719
yes,female,35.0,20.25,S,32,3.62760690981,33.4346632763
no,male,65.0,7.75,Q,16,1.03917310182,4.6498183169
no,male,28.0,7.8542,S,32,3.62708721327,65.544381917
no,male,16.0,9.5,S,25,4.74963025759,40.7903485254
yes,male,19.0,8.05,S,26,5.83400062975,71.6073130528
no,male,25.5070879603,26.0,S,26,1.0,19.0
no,male,33.0,8.6625,C,19,5.28358526982,82.9097227555
yes,male,30.0,9.5,S,23,3.05474473587,43.7235044285
no,male,22.0,7.8958,S,20,2.98107680326,24.3465281993
yes,male,42.0,13.0,S,20,2.750909242,24.0237311099
yes,female,22.0,7.75,Q,20,2.68311558193,45.7800583868
yes,female,26.0,78.85,S,28,4.55170237398,51.7541430563
yes,female,19.0,91.0792,C,39,2.0,49.0
no,male,36.0,12.875,C,22,4.0,77.9691841037
no,female,24.0,8.85,S,19,3.92282113531,27.9474631387
no,male,24.0,7.8958,S,16,4.03960073582,58.5749444081
no,male,33.4137075535,27.7208,C,17,2.09230886736,111.248104847
no,male,23.5,7.2292,C,18,5.07481041012,0.0333346097429
no,female,2.0,151.55,S,28,3.0,22.0
yes,male,18.5464673896,30.5,S,21,3.0,106.0
yes,female,50.0,247.5208,C,47,2.0,58.0
yes,female,7.76272148735,7.75,Q,40,6.04754767074,82.0166419129
yes,male,14.6213273083,23.25,Q,18,3.83884519816,67.8318605184
no,male,19.0,0.0,S,31,1.94661925383,70.4290202772
yes,female,26.7926282638,12.35,Q,19,5.0,101.0
no,male,17.3645772538,8.05,S,33,3.72229002245,68.4078947412
yes,male,0.92,151.55,S,30,3.0,22.0
yes,female,25.2842655076,110.8833,C,23,2.37128342205,13.9401948251
yes,female,17.0,108.9,C,82,3.0,65.0
no,male,30.0,24.0,C,19,2.73107590082,33.0827717839
yes,female,30.0,56.9292,C,30,5.0,36.0
yes,female,24.0,83.1583,C,30,3.0,54.0
yes,female,18.0,262.375,C,26,2.0,57.0
no,female,26.0,26.0,S,37,2.3190863039,81.9371170002
no,male,28.0,7.8958,S,22,3.24312627057,0.10693483783
no,male,43.0,26.25,S,18,2.34863312033,61.8198737421
yes,female,26.0,7.8542,S,31,2.65659839391,38.3390911478
yes,female,24.0,26.0,S,35,5.21090054824,12.9911979226
no,male,54.0,14.0,S,20,2.64156214082,105.719580479
yes,female,31.0,164.8667,S,24,3.0,7.0
yes,female,40.0,134.5,C,56,5.0,34.0
no,male,22.0,7.25,S,18,3.62459046397,106.865890496
no,male,27.0,7.8958,S,16,2.90198689266,62.2182430098
yes,female,30.0,12.35,Q,25,1.94958352571,61.3932685634
yes,female,22.0,29.0,S,51,2.01237116744,44.4676733992
no,male,18.6519090623,69.55,S,24,2.91496649018,16.2398449901
yes,female,36.0,135.6333,C,24,3.0,32.0
no,male,61.0,6.2375,S,25,2.52498292501,92.8397566103
yes,female,36.0,13.0,S,23,4.0,64.3272454415
yes,female,31.0,20.525,S,46,1.99578090201,92.6052746109
yes,female,16.0,57.9792,C,28,2.0,18.0
yes,female,45.4561391377,23.25,Q,18,3.70434525788,20.0272090229
no,male,45.5,28.5,S,19,3.0,124.0
no,male,38.0,153.4625,S,25,3.0,91.0
no,male,16.0,18.0,S,31,2.4910779899,1.67132944856
yes,female,47.8620764161,133.65,S,50,3.62739260598,43.7485087084
no,male,13.6799788136,7.8958,S,18,3.21613388943,41.3244596703
no,male,29.0,66.6,S,25,3.0,2.0
yes,female,41.0,134.5,C,31,5.0,40.0
yes,male,45.0,8.05,S,21,3.13157060931,55.7376110679
no,male,45.0,35.5,S,28,0.0,55.6197208621
yes,male,2.0,26.0,S,30,6.0,2.0
yes,female,24.0,263.0,S,30,3.0,23.0
no,male,28.0,13.0,S,26,3.93740923307,41.1788643017
no,male,25.0,13.0,S,42,2.51943219345,8.74556786688
no,male,36.0,13.0,S,23,2.85403546948,26.2664462935
yes,female,24.0,13.0,S,29,6.0,33.0
yes,female,40.0,13.0,S,25,1.77923603828,64.5959129974
yes,female,5.43473884454,16.1,S,41,3.43272886885,100.111611584
yes,male,3.0,15.9,S,38,4.47086809152,56.6514778847
no,male,42.0,8.6625,S,16,3.15843985524,63.1540585298
no,male,23.0,9.225,S,22,4.14045079032,47.4470326696
no,male,33.3393414774,35.0,S,38,3.0,128.0
no,male,15.0,7.2292,C,18,4.1844953312,88.0317285592
no,male,25.0,17.8,S,25,3.06905297898,19.4430296278
no,male,32.2131429355,7.225,C,17,5.17508172008,6.59759292785
no,male,28.0,9.5,S,27,3.97635091627,84.3670293105
yes,female,22.0,55.0,S,27,5.0,33.0
no,female,38.0,13.0,S,25,2.15579437838,25.9137419798
yes,female,1.86817799295,7.8792,Q,20,2.95587906117,37.73933686
yes,female,6.04039486551,7.8792,Q,33,2.84770887437,36.6576644999
no,male,40.0,27.9,S,18,1.10036451343,32.2562535606
no,male,29.0,27.7208,C,25,1.28110391371,23.7304106225
no,female,45.0,14.4542,C,31,2.59613942422,42.8728926001
no,male,35.0,7.05,S,15,1.06957883086,5.8930579794
no,male,38.1008376321,15.5,Q,19,3.68831618567,20.7830619482
no,male,30.0,7.25,S,30,2.52594607356,98.9490509777
yes,female,60.0,75.25,C,48,4.0,37.0
yes,female,23.0939934857,7.2292,C,30,0.551964552149,11.7016358582
yes,female,26.5462963671,7.75,Q,19,4.41960862215,45.5481595043
yes,female,24.0,69.3,C,29,2.0,35.0
yes,male,25.0,55.4417,C,27,5.0,50.0
no,male,18.0,6.4958,S,25,5.27169427849,48.4102944865
no,male,19.0,8.05,S,26,0.784144053373,56.0184845103
no,male,22.0,135.6333,C,19,3.99544288839,84.100551818
no,female,3.0,21.075,S,26,4.36559782862,61.4807940273
yes,female,39.6938579305,82.1708,C,37,3.41370315094,25.1744317704
yes,female,22.0,7.25,S,31,4.27925605756,51.3219450587
no,male,27.0,211.5,C,25,3.0,82.0
no,male,20.0,4.0125,C,19,5.46158710148,50.7128450485
no,male,19.0,7.775,S,27,4.30533121853,11.9588104153
yes,female,42.0,227.525,C,21,2.27039079,9.42980670438
yes,female,1.0,15.7417,C,27,4.32342199091,21.7329784415
no,male,32.0,7.925,S,18,6.06784493322,100.23940508
yes,female,35.0,52.0,S,51,1.99877675595,44.8329042151
no,male,52.4696752928,7.8958,S,22,3.6663452416,144.520810084
no,male,18.0,73.5,S,25,3.77521448353,28.0071871049
no,male,1.0,46.9,S,31,3.52874012444,33.3882942694
yes,female,36.0,13.0,S,16,0.342844344024,8.89126408874
no,male,37.5920854134,7.7292,Q,20,4.55604776059,46.7209757953
yes,female,17.0,12.0,C,21,2.64517300465,97.8764543909
yes,male,36.0,120.0,S,26,2.0,96.0
yes,male,21.0,7.7958,S,22,5.34079776554,42.6677261103
no,male,28.0,7.925,S,28,5.73093272001,76.6508063366
yes,female,23.0,113.275,C,22,4.0,36.0
yes,female,24.0,16.7,S,51,7.0,6.0
no,male,22.0,7.7958,S,19,3.81957827923,45.2205943975
no,female,31.0,7.8542,S,19,4.4974483029,34.2673952386
no,male,46.0,26.0,S,23,4.89695409438,97.8242597339
no,male,23.0,10.5,S,16,2.96400960808,10.8424282829
yes,female,28.0,12.65,S,32,2.7826932874,52.414404887
yes,male,39.0,7.925,S,18,5.15218508098,6.01356867178
no,male,26.0,8.05,S,15,1.5617757176,101.829244488
no,female,21.0,9.825,S,24,6.12637456912,60.7010394116
no,male,28.0,15.85,S,30,1.88826489727,89.82301576
no,female,20.0,8.6625,S,23,4.36402575411,19.672077355
no,male,34.0,21.0,S,18,0.341582784886,51.8767577385
no,male,51.0,7.75,S,32,2.53944404725,11.6854890009
yes,male,3.0,18.75,S,30,4.53781825409,47.6536026474
no,male,21.0,7.775,S,33,5.29278744151,27.6929293768
no,female,30.967466787,25.4667,S,18,2.38235219726,28.5826896152
no,male,59.1106916323,7.8958,S,18,2.00338185078,76.8377826907
no,male,31.1075041484,6.8583,Q,15,4.76225911388,41.4965942284
yes,female,33.0,90.0,Q,22,3.0,78.0
no,male,2.49654133497,0.0,S,30,2.2000571899,58.3870266301
yes,male,44.0,7.925,S,25,3.4758538729,42.4245495297
no,female,5.26396934148,8.05,S,39,1.66982345714,61.5347726289
yes,female,34.0,32.5,S,47,3.28690845497,70.4599698816
yes,female,18.0,13.0,S,29,2.56393608545,8.07441091218
no,male,30.0,13.0,S,26,0.507780372611,48.2459933556
no,female,10.0,24.15,S,25,1.7328884644,54.5264730769
no,male,20.0462581972,7.8958,C,22,3.68167893346,84.9351908785
no,male,21.0,7.7333,Q,19,4.26136565759,21.5694648525
no,male,29.0,7.875,S,18,2.44549747184,46.6912148141
no,female,28.0,14.4,S,54,3.36406093089,3.14511461803
no,male,18.0,20.2125,S,27,5.09941905557,7.69590100035
no,male,28.839822148,7.25,S,22,4.99361336989,15.4656985354
yes,female,28.0,26.0,S,43,2.4178568467,17.7770316761
yes,female,19.0,26.0,S,67,3.3430662409,27.0989714896
no,male,23.0641154383,7.75,Q,16,1.74477259956,61.6871142792
yes,male,32.0,8.05,S,34,5.0,10.0
yes,male,28.0,26.55,S,41,3.0,52.0
yes,female,5.40491214946,16.1,S,49,3.47696056926,39.7972582335
yes,female,42.0,26.0,S,51,5.92715444073,49.6489606406
no,male,17.0,7.125,S,26,5.47619343196,1.05399949418
no,male,50.0,55.9,S,25,5.0,44.0
yes,female,14.0,120.0,S,25,2.0,96.0
no,female,21.0,34.375,S,36,3.87632285162,81.0658101647
yes,female,24.0,18.75,S,37,4.72782444123,67.9824115202
no,male,64.0,263.0,S,17,3.0,23.0
no,male,31.0,10.5,S,38,1.37468906269,57.4175706872
yes,female,45.0,26.25,S,43,2.48189256414,4.61283023804
no,male,20.0,9.5,S,15,2.9787936033,36.9679462152
no,male,25.0,7.775,S,25,3.18631570503,57.5877334524
yes,female,28.0,13.0,S,25,2.8953431158,3.78774966917
yes,male,58.4254158944,8.1125,S,33,2.5555732894,15.8317095678
yes,male,4.0,81.8583,S,25,1.0,34.0
yes,female,13.0,19.5,S,33,4.70593487159,52.6769292209
yes,male,34.0,26.55,S,27,3.95690508632,103.02825335
yes,female,5.0,19.2583,C,30,2.63589315926,52.1162420554
yes,male,52.0,30.5,S,30,3.0,104.0
no,male,36.0,27.75,S,21,4.01081453909,43.5300836656
no,male,32.7432571762,19.9667,S,31,4.62680714521,45.3308611889
no,male,30.0,27.75,C,31,3.0,111.0
yes,male,49.0,89.1042,C,24,3.0,92.0
no,male,36.0674922866,8.05,S,19,3.55365196893,93.5983114965
yes,male,29.0,7.8958,C,18,2.86800951788,3.12275751069
no,male,65.0,26.55,S,25,5.0,38.0
